#	X	Y	Z
1	0	0	0
2	1	0	0
3	2	0	0
4	3	0	0
5	4	0	0
6	5	0	0
7	6	0	0
8	7	0	0
9	8	0	0
10	9	0	0
11	10	0	0
12	11	0	0
13	12	0	0
14	13	0	0
15	14	0	0
16	15	0	0
17	16	0	0
18	17	0	0
19	18	0	0
20	19	0	0
21	20	0	0
22	21	0	0
23	22	0	0
24	23	0	0
25	24	0	0
26	25	0	0
27	26	0	0
28	27	0	0
29	28	0	0
30	29	0	0
31	30	0	0
32	31	0	0
33	32	0	0
34	33	0	0
35	34	0	0
36	35	0	0
37	36	0	0
38	37	0	0
39	38	0	0
40	39	0	0
41	40	0	0
42	41	0	0
43	42	0	0
44	43	0	0
45	44	0	0
46	45	0	0
47	46	0	0
48	47	0	0
49	48	0	0
50	49	0	0
51	50	0	0
52	51	0	0
53	52	0	0
54	53	0	0
55	54	0	0
56	55	0	0
57	56	0	0
58	57	0	0
59	58	0	0
60	59	0	0
61	60	0	0
62	61	0	0
63	62	0	0
64	63	0	0
65	64	0	0
66	65	0	0
67	66	0	0
68	67	0	0
69	68	0	0
70	69	0	0
71	70	0	0
72	71	0	0
#	A	B	M	N
1	1	2	3	4
2	1	2	4	5
3	1	2	5	6
4	1	2	6	7
5	1	2	7	8
6	1	2	8	9
7	1	2	9	10
8	1	2	10	11
9	1	2	11	12
10	1	2	12	13
11	1	3	5	7
12	1	3	7	9
13	1	3	9	11
14	1	3	11	13
15	1	3	13	15
16	1	3	15	17
17	1	3	17	19
18	1	3	19	21
19	1	3	21	23
20	1	3	23	25
21	1	4	7	10
22	1	4	10	13
23	1	4	13	16
24	1	4	16	19
25	1	4	19	22
26	1	4	22	25
27	1	4	25	28
28	1	4	28	31
29	1	4	31	34
30	1	4	34	37
31	1	5	9	13
32	1	5	13	17
33	1	5	17	21
34	1	5	21	25
35	1	5	25	29
36	1	5	29	33
37	1	5	33	37
38	1	5	37	41
39	1	5	41	45
40	1	5	45	49
41	1	6	11	16
42	1	6	16	21
43	1	6	21	26
44	1	6	26	31
45	1	6	31	36
46	1	6	36	41
47	1	6	41	46
48	1	6	46	51
49	1	6	51	56
50	1	6	56	61
51	1	7	13	19
52	1	7	19	25
53	1	7	25	31
54	1	7	31	37
55	1	7	37	43
56	1	7	43	49
57	1	7	49	55
58	1	7	55	61
59	1	7	61	67
60	1	8	15	22
61	1	8	22	29
62	1	8	29	36
