A,B,M,N
51,69,52,68
51,69,68,53
51,69,53,67
51,69,67,54
51,69,54,66
51,69,66,55
51,69,55,65
51,69,65,56
51,69,56,64
52,70,53,69
52,70,69,54
52,70,54,68
52,70,68,55
52,70,55,67
52,70,67,56
52,70,56,66
52,70,66,57
52,70,57,65
53,71,54,70
53,71,70,55
53,71,55,69
53,71,69,56
53,71,56,68
53,71,68,57
53,71,57,67
53,71,67,58
53,71,58,66
54,72,55,71
54,72,71,56
54,72,56,70
54,72,70,57
54,72,57,69
54,72,69,58
54,72,58,68
54,72,68,59
54,72,59,67
27,49,29,47
27,49,47,31
27,49,31,45
27,49,45,33
27,49,33,43
27,49,43,35
27,49,35,41
27,49,41,37
27,49,37,39
28,50,30,48
28,50,48,32
28,50,32,46
28,50,46,34
28,50,34,44
28,50,44,36
28,50,36,42
28,50,42,38
28,50,38,40
29,51,31,49
29,51,49,33
29,51,33,47
29,51,47,35
29,51,35,45
29,51,45,37
29,51,37,43
29,51,43,39
29,51,39,41
30,52,32,50
30,52,50,34
30,52,34,48
30,52,48,36
30,52,36,46
30,52,46,38
30,52,38,44
30,52,44,40
30,52,40,42
31,53,33,51
31,53,51,35
31,53,35,49
31,53,49,37
31,53,37,47
31,53,47,39
31,53,39,45
31,53,45,41
31,53,41,43
32,54,34,52
32,54,52,36
32,54,36,50
32,54,50,38
32,54,38,48
32,54,48,40
32,54,40,46
32,54,46,42
32,54,42,44
33,55,35,53
33,55,53,37
33,55,37,51
33,55,51,39
33,55,39,49
33,55,49,41
33,55,41,47
33,55,47,43
33,55,43,45
34,56,36,54
34,56,54,38
34,56,38,52
34,56,52,40
34,56,40,50
34,56,50,42
34,56,42,48
34,56,48,44
34,56,44,46
35,57,37,55
35,57,55,39
35,57,39,53
35,57,53,41
35,57,41,51
35,57,51,43
35,57,43,49
35,57,49,45
35,57,45,47
36,58,38,56
36,58,56,40
36,58,40,54
36,58,54,42
36,58,42,52
36,58,52,44
36,58,44,50
36,58,50,46
36,58,46,48
37,59,39,57
37,59,57,41
37,59,41,55
37,59,55,43
37,59,43,53
37,59,53,45
37,59,45,51
37,59,51,47
37,59,47,49
38,60,40,58
38,60,58,42
38,60,42,56
38,60,56,44
38,60,44,54
38,60,54,46
38,60,46,52
38,60,52,48
38,60,48,50
39,61,41,59
39,61,59,43
39,61,43,57
39,61,57,45
39,61,45,55
39,61,55,47
39,61,47,53
39,61,53,49
39,61,49,51
40,62,42,60
40,62,60,44
40,62,44,58
40,62,58,46
40,62,46,56
40,62,56,48
40,62,48,54
40,62,54,50
40,62,50,52
41,63,43,61
41,63,61,45
41,63,45,59
41,63,59,47
41,63,47,57
41,63,57,49
41,63,49,55
41,63,55,51
41,63,51,53
42,64,44,62
42,64,62,46
42,64,46,60
42,64,60,48
42,64,48,58
42,64,58,50
42,64,50,56
42,64,56,52
42,64,52,54
43,65,45,63
43,65,63,47
43,65,47,61
43,65,61,49
43,65,49,59
43,65,59,51
43,65,51,57
43,65,57,53
43,65,53,55
44,66,46,64
44,66,64,48
44,66,48,62
44,66,62,50
44,66,50,60
44,66,60,52
44,66,52,58
44,66,58,54
44,66,54,56
45,67,47,65
45,67,65,49
45,67,49,63
45,67,63,51
45,67,51,61
45,67,61,53
45,67,53,59
45,67,59,55
45,67,55,57
46,68,48,66
46,68,66,50
46,68,50,64
46,68,64,52
46,68,52,62
46,68,62,54
46,68,54,60
46,68,60,56
46,68,56,58
47,69,49,67
47,69,67,51
47,69,51,65
47,69,65,53
47,69,53,63
47,69,63,55
47,69,55,61
47,69,61,57
47,69,57,59
48,70,50,68
48,70,68,52
48,70,52,66
48,70,66,54
48,70,54,64
48,70,64,56
48,70,56,62
48,70,62,58
48,70,58,60
49,71,51,69
49,71,69,53
49,71,53,67
49,71,67,55
49,71,55,65
49,71,65,57
49,71,57,63
49,71,63,59
49,71,59,61
50,72,52,70
50,72,70,54
50,72,54,68
50,72,68,56
50,72,56,66
50,72,66,58
50,72,58,64
50,72,64,60
50,72,60,62
23,49,25,47
23,49,47,27
23,49,27,45
23,49,45,29
23,49,29,43
23,49,43,31
23,49,31,41
23,49,41,33
23,49,33,39
24,50,26,48
24,50,48,28
24,50,28,46
24,50,46,30
24,50,30,44
24,50,44,32
24,50,32,42
24,50,42,34
24,50,34,40
25,51,27,49
25,51,49,29
25,51,29,47
25,51,47,31
25,51,31,45
25,51,45,33
25,51,33,43
25,51,43,35
25,51,35,41
26,52,28,50
26,52,50,30
26,52,30,48
26,52,48,32
26,52,32,46
26,52,46,34
26,52,34,44
26,52,44,36
26,52,36,42
27,53,29,51
27,53,51,31
27,53,31,49
27,53,49,33
27,53,33,47
27,53,47,35
27,53,35,45
27,53,45,37
27,53,37,43
28,54,30,52
28,54,52,32
28,54,32,50
28,54,50,34
28,54,34,48
28,54,48,36
28,54,36,46
28,54,46,38
28,54,38,44
29,55,31,53
29,55,53,33
29,55,33,51
29,55,51,35
29,55,35,49
29,55,49,37
29,55,37,47
29,55,47,39
29,55,39,45
30,56,32,54
30,56,54,34
30,56,34,52
30,56,52,36
30,56,36,50
30,56,50,38
30,56,38,48
30,56,48,40
30,56,40,46
31,57,33,55
31,57,55,35
31,57,35,53
31,57,53,37
31,57,37,51
31,57,51,39
31,57,39,49
31,57,49,41
31,57,41,47
32,58,34,56
32,58,56,36
32,58,36,54
32,58,54,38
32,58,38,52
32,58,52,40
32,58,40,50
32,58,50,42
32,58,42,48
33,59,35,57
33,59,57,37
33,59,37,55
33,59,55,39
33,59,39,53
33,59,53,41
33,59,41,51
33,59,51,43
33,59,43,49
34,60,36,58
34,60,58,38
34,60,38,56
34,60,56,40
34,60,40,54
34,60,54,42
34,60,42,52
34,60,52,44
34,60,44,50
35,61,37,59
35,61,59,39
35,61,39,57
35,61,57,41
35,61,41,55
35,61,55,43
35,61,43,53
35,61,53,45
35,61,45,51
36,62,38,60
36,62,60,40
36,62,40,58
36,62,58,42
36,62,42,56
36,62,56,44
36,62,44,54
36,62,54,46
36,62,46,52
37,63,39,61
37,63,61,41
37,63,41,59
37,63,59,43
37,63,43,57
37,63,57,45
37,63,45,55
37,63,55,47
37,63,47,53
38,64,40,62
38,64,62,42
38,64,42,60
38,64,60,44
38,64,44,58
38,64,58,46
38,64,46,56
38,64,56,48
38,64,48,54
39,65,41,63
39,65,63,43
39,65,43,61
39,65,61,45
39,65,45,59
39,65,59,47
39,65,47,57
39,65,57,49
39,65,49,55
40,66,42,64
40,66,64,44
40,66,44,62
40,66,62,46
40,66,46,60
40,66,60,48
40,66,48,58
40,66,58,50
40,66,50,56
41,67,43,65
41,67,65,45
41,67,45,63
41,67,63,47
41,67,47,61
41,67,61,49
41,67,49,59
41,67,59,51
41,67,51,57
42,68,44,66
42,68,66,46
42,68,46,64
42,68,64,48
42,68,48,62
42,68,62,50
42,68,50,60
42,68,60,52
42,68,52,58
43,69,45,67
43,69,67,47
43,69,47,65
43,69,65,49
43,69,49,63
43,69,63,51
43,69,51,61
43,69,61,53
43,69,53,59
44,70,46,68
44,70,68,48
44,70,48,66
44,70,66,50
44,70,50,64
44,70,64,52
44,70,52,62
44,70,62,54
44,70,54,60
45,71,47,69
45,71,69,49
45,71,49,67
45,71,67,51
45,71,51,65
45,71,65,53
45,71,53,63
45,71,63,55
45,71,55,61
46,72,48,70
46,72,70,50
46,72,50,68
46,72,68,52
46,72,52,66
46,72,66,54
46,72,54,64
46,72,64,56
46,72,56,62
19,49,21,47
19,49,47,23
19,49,23,45
19,49,45,25
19,49,25,43
19,49,43,27
19,49,27,41
19,49,41,29
19,49,29,39
20,50,22,48
20,50,48,24
20,50,24,46
20,50,46,26
20,50,26,44
20,50,44,28
20,50,28,42
20,50,42,30
20,50,30,40
21,51,23,49
21,51,49,25
21,51,25,47
21,51,47,27
21,51,27,45
21,51,45,29
21,51,29,43
21,51,43,31
21,51,31,41
22,52,24,50
22,52,50,26
22,52,26,48
22,52,48,28
22,52,28,46
22,52,46,30
22,52,30,44
22,52,44,32
22,52,32,42
23,53,25,51
23,53,51,27
23,53,27,49
23,53,49,29
23,53,29,47
23,53,47,31
23,53,31,45
23,53,45,33
23,53,33,43
24,54,26,52
24,54,52,28
24,54,28,50
24,54,50,30
24,54,30,48
24,54,48,32
24,54,32,46
24,54,46,34
24,54,34,44
25,55,27,53
25,55,53,29
25,55,29,51
25,55,51,31
25,55,31,49
25,55,49,33
25,55,33,47
25,55,47,35
25,55,35,45
26,56,28,54
26,56,54,30
26,56,30,52
26,56,52,32
26,56,32,50
26,56,50,34
26,56,34,48
26,56,48,36
26,56,36,46
27,57,29,55
27,57,55,31
27,57,31,53
27,57,53,33
27,57,33,51
27,57,51,35
27,57,35,49
27,57,49,37
27,57,37,47
28,58,30,56
28,58,56,32
28,58,32,54
28,58,54,34
28,58,34,52
28,58,52,36
28,58,36,50
28,58,50,38
28,58,38,48
29,59,31,57
29,59,57,33
29,59,33,55
29,59,55,35
29,59,35,53
29,59,53,37
29,59,37,51
29,59,51,39
29,59,39,49
30,60,32,58
30,60,58,34
30,60,34,56
30,60,56,36
30,60,36,54
30,60,54,38
30,60,38,52
30,60,52,40
30,60,40,50
31,61,33,59
31,61,59,35
31,61,35,57
31,61,57,37
31,61,37,55
31,61,55,39
31,61,39,53
31,61,53,41
31,61,41,51
32,62,34,60
32,62,60,36
32,62,36,58
32,62,58,38
32,62,38,56
32,62,56,40
32,62,40,54
32,62,54,42
32,62,42,52
33,63,35,61
33,63,61,37
33,63,37,59
33,63,59,39
33,63,39,57
33,63,57,41
33,63,41,55
33,63,55,43
33,63,43,53
34,64,36,62
34,64,62,38
34,64,38,60
34,64,60,40
34,64,40,58
34,64,58,42
34,64,42,56
34,64,56,44
34,64,44,54
35,65,37,63
35,65,63,39
35,65,39,61
35,65,61,41
35,65,41,59
35,65,59,43
35,65,43,57
35,65,57,45
35,65,45,55
36,66,38,64
36,66,64,40
36,66,40,62
36,66,62,42
36,66,42,60
36,66,60,44
36,66,44,58
36,66,58,46
36,66,46,56
37,67,39,65
37,67,65,41
37,67,41,63
37,67,63,43
37,67,43,61
37,67,61,45
37,67,45,59
37,67,59,47
37,67,47,57
38,68,40,66
38,68,66,42
38,68,42,64
38,68,64,44
38,68,44,62
38,68,62,46
38,68,46,60
38,68,60,48
38,68,48,58
39,69,41,67
39,69,67,43
39,69,43,65
39,69,65,45
39,69,45,63
39,69,63,47
39,69,47,61
39,69,61,49
39,69,49,59
40,70,42,68
40,70,68,44
40,70,44,66
40,70,66,46
40,70,46,64
40,70,64,48
40,70,48,62
40,70,62,50
40,70,50,60
41,71,43,69
41,71,69,45
41,71,45,67
41,71,67,47
41,71,47,65
41,71,65,49
41,71,49,63
41,71,63,51
41,71,51,61
42,72,44,70
42,72,70,46
42,72,46,68
42,72,68,48
42,72,48,66
42,72,66,50
42,72,50,64
42,72,64,52
42,72,52,62
16,49,18,47
16,49,47,20
16,49,20,45
16,49,45,22
16,49,22,43
16,49,43,24
16,49,24,41
16,49,41,26
16,49,26,39
17,50,19,48
17,50,48,21
17,50,21,46
17,50,46,23
17,50,23,44
17,50,44,25
17,50,25,42
17,50,42,27
17,50,27,40
18,51,20,49
18,51,49,22
18,51,22,47
18,51,47,24
18,51,24,45
18,51,45,26
18,51,26,43
18,51,43,28
18,51,28,41
19,52,21,50
19,52,50,23
19,52,23,48
19,52,48,25
19,52,25,46
19,52,46,27
19,52,27,44
19,52,44,29
19,52,29,42
20,53,22,51
20,53,51,24
20,53,24,49
20,53,49,26
20,53,26,47
20,53,47,28
20,53,28,45
20,53,45,30
20,53,30,43
21,54,23,52
21,54,52,25
21,54,25,50
21,54,50,27
21,54,27,48
21,54,48,29
21,54,29,46
21,54,46,31
21,54,31,44
22,55,24,53
22,55,53,26
22,55,26,51
22,55,51,28
22,55,28,49
22,55,49,30
22,55,30,47
22,55,47,32
22,55,32,45
23,56,25,54
23,56,54,27
23,56,27,52
23,56,52,29
23,56,29,50
23,56,50,31
23,56,31,48
23,56,48,33
23,56,33,46
24,57,26,55
24,57,55,28
24,57,28,53
24,57,53,30
24,57,30,51
24,57,51,32
24,57,32,49
24,57,49,34
24,57,34,47
25,58,27,56
25,58,56,29
25,58,29,54
25,58,54,31
25,58,31,52
25,58,52,33
25,58,33,50
25,58,50,35
25,58,35,48
26,59,28,57
26,59,57,30
26,59,30,55
26,59,55,32
26,59,32,53
26,59,53,34
26,59,34,51
26,59,51,36
26,59,36,49
27,60,29,58
27,60,58,31
27,60,31,56
27,60,56,33
27,60,33,54
27,60,54,35
27,60,35,52
27,60,52,37
27,60,37,50
28,61,30,59
28,61,59,32
28,61,32,57
28,61,57,34
28,61,34,55
28,61,55,36
28,61,36,53
28,61,53,38
28,61,38,51
29,62,31,60
29,62,60,33
29,62,33,58
29,62,58,35
29,62,35,56
29,62,56,37
29,62,37,54
29,62,54,39
29,62,39,52
30,63,32,61
30,63,61,34
30,63,34,59
30,63,59,36
30,63,36,57
30,63,57,38
30,63,38,55
30,63,55,40
30,63,40,53
31,64,33,62
31,64,62,35
31,64,35,60
31,64,60,37
31,64,37,58
31,64,58,39
31,64,39,56
31,64,56,41
31,64,41,54
32,65,34,63
32,65,63,36
32,65,36,61
32,65,61,38
32,65,38,59
32,65,59,40
32,65,40,57
32,65,57,42
32,65,42,55
33,66,35,64
33,66,64,37
33,66,37,62
33,66,62,39
33,66,39,60
33,66,60,41
33,66,41,58
33,66,58,43
33,66,43,56
34,67,36,65
