"clean_data.pseudoX","y","z","rho"
26.175,24.975,192.513,258.476
23.723,15.455,190.817,128.037
22.8,9.045,192.557,7.32
1.99,3.643,193.217,810.027
2.332,4.318,193.6,632.633
2.657,4.988,193.982,677.335
2.99,5.668,194.129,620.375
3.328,6.33,194.017,573.607
3.67,6.992,193.647,501.916
3.905,7.438,193.413,602.899
4.12,7.89,193.192,861.844
4.942,9.64,192.618,648.836
6.218,12.25,191.651,556.402
5.452,10.657,192.067,792.63
6.88,13.562,193.785,713.59
7.307,14.462,194.373,523.499
7.52,14.917,194.749,261.061
7.817,15.535,195.382,486.686
8.127,16.165,195.718,774.07
8.472,16.822,195.561,2400.171
8.805,17.475,195.207,1004.344
9.007,17.935,194.994,695.455
9.75,19.375,194.764,108.076
10.225,20.09,191.799,11.561
13.157,25.98,196.016,50.339
14.005,27.587,197.677,537.444
14.447,28.405,198.45,992.872
14.802,29.062,198.831,318.045
15.11,29.712,198.949,654.483
15.405,30.34,198.68,1964.331
15.712,30.962,198.028,1206.54
15.907,31.367,197.571,1297.323
16.12,31.74,197.137,865.459
4.665,0.188,192.278,503.791
5.995,2.875,191.541,1015.362
6.868,4.648,190.865,342.994
7.735,6.375,190.384,281.062
10.617,12.025,187.909,24.252
10.26,6.908,189.79,488.688
8.008,-1.91,193.992,841.612
8.332,-1.242,193.628,575.321
8.557,-0.795,193.383,716.614
8.785,-0.362,193.149,723.043
14.413,19.692,190.532,43.394
17.787,26.4,195.117,453.026
19.692,30.067,195.926,394.273
19.122,24.625,191.538,435.694
18.907,20,192.371,25.706
21.447,25.128,196.438,674.251
22.272,26.555,197.679,1286.006
22.64,27.22,198.061,1040.604
10.04,1.612,190.261,168.507
15.65,12.992,187.435,116.655
15.865,8.968,188.283,27.214
13.69,0.19,192.309,586.094
15.755,4.343,191.627,1262.294
18.465,9.647,189.871,233.055
18.852,5.745,188.84,556.014
9.287,0.042,190.266,176.791
15.135,11.855,187.086,128.126
15.012,7.16,187.907,459.607
12.837,-1.617,192.181,572.331
14.275,1.275,191.719,2105.932
15.755,4.33,190.825,800.02
17.9,8.567,189.819,7.914
20.39,13.352,187.123,8.374
18.665,5.27,188.809,652.999
3.368,2.018,192.965,652.181
3.923,3.15,193.201,629.633
4.268,3.82,193.005,808.338
4.945,5.158,192.485,724.207
6.005,7.34,191.798,396.826
7.172,9.745,190.939,326.449
8.547,7.942,191.051,599.915
6.815,0.14,193.176,570.234
7.367,1.262,193.147,537.674
18.095,17.985,191.701,190.875
22.508,26.733,194.32,425.92
21.79,21.09,190.998,200.924
24.553,22.393,196.996,691.098
27.035,26.958,194.82,318.535
26.412,21.148,193.997,255.523
26.142,16.053,194.795,11.027
11.753,23.125,190.817,1143.868
16.235,31.965,197.267,1232.565
16.53,32.592,197.426,1853.712
16.81,33.175,197.377,1175.044
17.115,33.76,197.151,692.972
17.435,34.335,196.729,436.107
17.722,34.922,196.072,73.843
17.905,35.342,195.684,76.013
14.728,20.46,194.29,1246.948
13.95,14.485,191.53,39.999
13.41,9.075,192.071,921.646
15.263,12.797,194.539,995.113
15.673,13.615,195.302,971.404
15.983,14.282,195.702,1236.443
16.295,14.985,195.854,399.961
12.668,16.51,192.151,9.761
16.16,23.435,196.146,239.667
17.363,25.7,196.978,457.013
18.572,28.165,195.185,1004.567
16.7,20.088,191.073,245.254
16.295,15.04,193.005,1.442
19.053,20.742,196.979,29.844
19.335,21.353,197.607,952.015
19.942,22.582,198.718,1001.323
11.54,4.682,190.378,91.787
16.307,14.133,190.254,35.061
15.675,8.448,190.934,271.459
14.795,2.375,192.32,455.745
15.675,4.158,192.428,347.035
17.55,8.07,191.971,831.716
20.86,14.582,188.973,11.753
20.31,8.59,189.261,447.582
17.87,-0.882,193.106,701.693
20.44,22.495,191.788,13.791
22.03,7.585,192.279,1.042
3.688,2.703,192.851,710.616
4.362,4.058,193.23,670.754
4.6,4.5,193.075,776.769
5.255,5.832,192.634,786.186
6.315,8.015,191.935,399.998
8.01,11.41,191.106,924.924
9.768,10.478,189.179,531.59
7.145,0.818,193.123,532.985
7.808,2.152,193.158,470.842
12.198,24.145,187.83,5.615
15.69,31.07,192.943,320.008
17.188,33.963,195.144,244.164
17.685,35.017,195.422,127.04
18.098,35.805,195.428,95.236
18.52,36.573,195.428,29.205
18.805,37.185,195.488,71.872
19.095,37.828,195.425,62.439
19.405,38.505,195.301,103.416
16.433,28.178,189.359,78.615
13.525,8.852,188.484,79.82
16.032,13.932,189.537,30.59
18.078,17.952,190.35,124.751
19.56,20.852,190.289,483.484
20.887,23.535,188.881,121.373
18.955,15.292,184.241,198.52
17.3,7.647,189.711,253.231
18.925,10.907,190.025,111.925
20.365,13.927,191.026,30.121
22.202,17.595,191.754,307.168
12.638,20.798,195.355,1.371
13.373,22.273,196.334,67.425
14.002,23.477,196.89,31.345
14.967,25.355,196.204,1.376
15.4,26.002,196.765,317.175
17.34,29.795,197.374,916.004
18.433,32.05,195.516,367.487
16.18,23.175,191.761,336.455
15.465,17.477,192.14,5.843
18.205,23.133,195.983,181.747
6.178,-1.43,191.174,491.651
7.507,1.257,190.538,272.27
8.902,4.115,189.779,112.777
10.505,7.318,189.115,54.218
11.773,5.29,188.851,668.421
9.52,-3.527,192.961,758.442
10.072,-2.428,192.531,611.485
10.955,-0.652,191.745,420.511
11.835,1.13,190.907,231.578
7.522,1.245,191.212,1821.321
8.755,3.715,191.136,582.921
10.47,7.22,190.473,218.506
13.692,9.252,188.502,576.003
11.625,0.708,193.104,536.8
12.17,1.818,192.631,607.497
13.352,4.19,191.971,426.815
4.7,4.702,192.389,747.921
5.718,6.72,193.187,364.341
6.17,7.605,193.294,435.286
6.707,8.727,193.031,683.341
7.778,10.902,192.395,501.832
9.155,13.652,191.745,632.653
10.653,12.275,189.464,378.452
8.258,3.043,192.822,611.87
9.135,4.82,193.282,403.195
12.848,20.893,188.429,8.014
15.98,27.188,192.935,95.929
17.842,30.788,195.47,1125.962
19.208,33.418,195.639,54.326
19.8,34.59,195.281,79.566
20.09,35.233,194.926,98.354
17.44,25.59,190.737,169.799
19.78,26.235,193.478,48.995
12.298,20.188,195.151,47.522
13.465,22.472,196.489,30.83
7.95,2.115,191.151,504.92
9.28,4.803,191.293,509.804
10.887,8.102,190.787,263.447
13.903,9.682,188.615,458.536
11.512,0.46,192.747,536.185
12.39,2.237,193.184,538.284
13.148,3.795,192.702,530.84
14.225,5.945,192.034,414.069
13.813,18.505,192.397,32.054
17.06,24.988,196.603,201.103
18.235,27.328,196.904,491.875
17.13,20.635,191.318,466.753
16.83,15.843,192.177,10.617
19.972,22.372,196.918,310.049
20.672,23.812,198.416,1009.23
21.053,24.425,198.878,746.598
21.475,25.03,199.009,1036.599
16.812,28.77,197.849,598.892
18.623,32.49,195.734,385.905
16.172,23.147,191.499,292.472
15.36,17.21,191.454,6.794
9.95,6.115,190.666,444.803
13.297,12.867,191.93,424.153
15.453,12.8,189.219,189.28
13.383,4.245,192.036,571.472
14.375,6.232,193.036,500.081
14.93,7.338,193.395,460.681
15.572,8.61,193.763,447.132
16.49,10.578,193.342,783.773
12.233,10.825,190.986,44.965
16.188,18.67,193.11,19.884
15.29,8.142,191.748,271.884
17.032,11.63,193.905,427.994
17.755,13.15,194.599,438.81
18.363,14.512,194.891,567.365
18.665,15.155,194.782,50.124
14.018,14.492,191.108,3.029
17.265,20.975,194.701,26.831
20.817,28.095,193.042,72.878
18.368,18.752,190.729,58.816
20.005,17.925,195.326,3.388
20.59,19.177,196.161,531.273
21.185,20.39,197.211,1856.656
21.77,21.41,197.5,883.298
19.325,25.002,192.994,64.645
21.118,28.567,194.61,728.405
22.773,31.902,194.05,480.955
20.512,22.985,190.318,332.58
22.668,23.152,193.785,107.513
23.74,25.218,195.566,452.231
24.8,27.132,196.521,966.36
25.618,28.593,196.55,331.295
4.27,3.82,192.891,603.405
5.062,5.395,192.928,647.097
5.405,6.058,193.117,539.161
6.168,7.623,192.697,593.506
7.657,10.685,191.643,554.426
9.235,13.84,191.002,628.721
10.142,11.142,188.552,595.569
8.045,2.6,193.175,604.993
8.815,4.157,192.983,569.863
20.77,27.832,191.954,388.014
22.58,31.363,193.737,370.711
23.492,33.172,193.116,145.469
24.305,34.845,192.63,395.649
22.982,27.857,190.954,281.651
22.657,22.965,190.789,53.621
24.44,26.535,193.824,282.798
25.843,29.015,194.693,244.647
26.855,30.913,195.054,107.036
4.365,4.04,192.613,440.144
5.257,5.835,193.022,567.233
6.13,7.608,193.089,461.82
6.877,9.172,192.606,243.734
7.505,10.428,192.284,1271.31
8.582,12.555,191.665,515.93
11.433,18.24,188.434,7.022
10.445,11.815,187.753,538.496
7.932,2.368,192.865,37.146
9.03,4.6,193.104,623.317
7.745,10.867,193.269,324.412
9.972,15.442,193.946,1035.809
11.27,17.935,193.483,7.798
13.465,22.245,190.949,14.055
11.86,14.592,188.446,126.519
9.875,6.278,191.792,562.423
11.4,9.402,193.472,459.02
11.48,18.447,194.853,136.037
12.148,19.735,195.379,5.401
12.68,20.733,195.794,37.819
13.665,22.595,195.698,23.535
15.637,26.585,193.188,44.759
16.94,29.29,190.877,26.227
13.993,18.958,189.315,40.986
13.082,12.812,192.724,288.83
19.352,20.672,187.659,13.329
24.913,31.71,192.582,58.279
22.765,18.78,188.502,9.175
26.288,25.923,193.434,425.384
27.665,28.405,194.551,1053.42
28.657,30.28,194.376,103.402
29.375,31.725,193.966,295.647
27.682,23.76,190.123,73.198
11.745,18.785,189.727,34.593
14.56,24.425,193.556,25.872
17.77,30.758,196.973,135.053
18.578,32.34,195.916,167.751
19.39,34.013,194.633,133.21
17.183,25.258,190.261,280.532
15.96,18.41,190.586,16.955
18.462,23.585,194.448,197.639
17.933,22.21,187.433,2.198
21.615,29.568,192.267,461.508
23.1,32.433,193.36,339.827
24.908,36.198,192.581,275.718
22.068,26.093,189.164,250.127
21.55,20.81,188.261,4.915
24.915,27.478,193.11,391.423
26.393,30.163,194.572,338.006
27.35,31.992,194.498,105.515
12.383,20.045,189.381,31.934
15.407,26.128,193.667,182.477
17.915,30.96,196.553,203.792
18.515,32.207,196.18,223.594
18.938,32.975,196.029,71.781
19.75,34.647,194.979,60.993
18.165,27.195,190.659,193.385
17.255,21.05,190.926,13.371
19.008,24.708,193.765,156.336
7.387,1.025,191.357,333.424
8.942,4.165,190.836,478.506
11.382,9.072,189.981,2667.104
14.53,15.342,186.976,6.073
13.123,8.157,188.053,389.621
10.5,-1.507,192.948,617.905
10.942,-0.62,192.934,644.62
12.05,1.595,192.36,657.102
13.45,4.407,191.458,530.443
10.273,6.732,190.64,372.456
13.742,13.782,192.259,297.527
16.247,18.758,190.223,5.196
16.24,14.28,190.052,251.911
14.585,6.635,192.667,569.414
15.36,8.192,193.529,594.188
15.782,9.035,193.875,502.065
16.41,10.305,194.24,508.032
17.237,12.06,193.818,767.841
8.445,12.243,191.74,927.464
11.068,17.51,194.731,223.204
11.722,18.832,195.182,16.941
12.457,20.308,195.684,36.386
13.552,22.368,195.369,26.925
14.61,24.458,194.332,3.17
15.913,27.162,191.961,5.491
13.87,18.708,189.322,60.244
12.548,11.648,192.543,720.627
9.905,6.05,191.069,206.939
11.758,9.808,192.252,257.296
14.983,16.265,191.682,29.199
17.01,20.178,190.157,23.345
15.038,11.885,189.252,175.834
13.668,4.843,192.546,195.433
15.1,7.725,193.498,785.472
15.63,8.8,193.852,693.718
16.548,10.768,193.737,992.621
17.99,22.308,194.468,15.721
18.857,23.935,195.485,433.933
20.127,26.398,195.219,1664.647
21.54,29.32,193.46,453.763
18.98,19.798,189.437,247.303
18.188,13.868,191.68,27.866
21.237,20.222,195.787,178.085
22.027,21.882,196.741,164.694
22.647,22.89,197.43,981.852
7.21,9.772,191.389,936.19
9.6,14.652,193.864,94.272
10.1,15.672,194.317,164.763
11.18,17.805,194.545,47.176
12.807,21.002,193.818,3.312
14.365,24.053,191.648,8.654
12.74,16.433,189.304,157.839
11.077,8.787,191.816,627.145
12.49,11.637,193.512,744.303
8.79,4.14,192.613,446.773
9.965,6.518,191.743,617.888
11.512,9.77,190.827,138.395
14.663,15.775,187.82,5.57
13.085,7.913,188.027,303.857
11.75,0.653,191.212,496.188
13.713,4.602,190.719,809.316
14.982,7.18,190.28,335.858
4.077,7.89,192.291,673.557
4.97,9.665,193.306,636.44
5.423,10.55,193.821,475.491
5.638,11.002,194.101,343.172
6.065,11.902,194.422,343.363
6.472,12.793,194.339,378.124
6.88,13.608,194.273,466.926
7.185,14.21,194.048,698.811
7.84,15.532,193.43,621.553
11.392,22.588,196.559,3.228
11.603,22.995,196.98,52.595
12.01,23.8,197.605,222.777
12.425,24.608,197.744,582.342
12.647,25.008,197.716,335.807
12.89,25.42,197.564,95.815
13.325,26.295,197.083,94.592
11.627,5.125,192.014,243.833
11.848,5.575,192.006,212.732
12.31,6.443,192.153,258.384
13.75,9.463,191.976,916.092
16.415,14.73,189.78,20.206
18.51,18.657,187.13,8.041
17.128,11.345,188.878,463.158
16.095,4.713,192.559,769.074
17.622,7.742,191.803,845.705
20.387,13.48,188.665,6.164
15.52,30.9,191.546,45.785
17.05,33.847,193.947,314.847
18.015,35.745,194.913,159.465
18.513,36.71,194.878,144.5
19.013,37.67,194.869,42.049
19.298,38.282,194.929,40.36
19.51,38.732,195.126,57.418
17.198,29.75,190.183,60.426
6.453,12.658,192.425,1078.278
7.967,15.775,194.378,2913.965
8.375,16.59,195.224,1282.732
8.575,17.023,195.571,1084.877
9.005,17.907,195.846,861.255
9.455,18.792,195.589,736.584
9.68,19.23,195.439,383.491
9.898,19.632,195.375,47.524
10.415,20.635,195.296,2.504
6.447,3.772,192.192,215.502
8.072,7.088,192.313,409.946
9.797,10.608,191.642,721.6
12.14,15.222,189.801,10.106
11.58,9.645,190.475,472.509
9.652,1.438,193.165,715.039
10.095,2.325,193.67,650.933
10.323,2.758,193.925,417.858
10.758,3.648,194.184,463.566
11.192,4.545,193.961,371.873
15.412,21.51,189.758,1048.875
21.05,32.7,194.905,529.998
21.762,34.11,194.188,66.581
19.002,24.232,190.009,303.201
18.992,20.028,190.581,140.632
22.685,27.38,195.919,635.96
23.632,29.062,196.925,1079.913
23.967,29.697,196.991,1204.371
24.192,30.078,196.979,705.528
16.405,14.358,191.416,42.006
22.115,17.335,195.221,15.39
25.465,23.59,192.142,24.254
16.918,20.093,194.324,83.668
17.475,16.812,189.726,74.579
15.94,9.377,191.785,507.492
17.885,13.305,194.185,555.033
18.81,15.257,195.252,691.162
19.215,16.148,195.279,157.896
19.907,17.6,195.723,21.253
9.51,14.435,191.05,3.096
11.792,19.078,193.928,12.286
13.082,21.66,195.848,202.135
13.933,23.312,196.742,15.907
14.708,24.75,196.809,130.396
16.885,29.142,193.901,698.966
14.828,20.672,190.156,146.005
13.325,13.207,191.523,8.138
7.737,1.68,191.37,339.033
9.165,4.585,190.962,543.707
10.345,6.982,190.472,377.196
11.317,8.953,190.028,145.624
13.322,12.89,188.275,3.351
12.98,7.752,189.332,509.601
10.943,-0.635,192.781,521.085
11.602,0.703,193.118,461.938
12.485,2.482,192.436,454.929
13.17,3.788,191.958,677.862
9.858,15.09,191.08,3.64
12.14,19.732,193.987,2.174
13.4,22.233,195.892,1.128
14.25,23.885,196.902,14.163
15.037,25.385,197.025,157.133
17.292,29.932,193.657,784.496
14.733,20.41,190.114,241.813
13.415,13.367,191.352,10.748
15.768,18.238,194.254,194.361
7.832,1.9,191.388,372.684
10.33,7.022,190.66,2702.815
14.127,14.402,189.253,151.73
12.395,6.525,189.711,634.351
10.975,-0.667,193.06,711.768
11.848,1.125,192.755,587.234
12.622,2.683,192.604,356.364
13.168,12.778,191.235,23.131
16.192,18.86,194.313,154.932
17.735,17.48,189.613,39.243
16.418,10.438,191.795,107.898
18.37,14.372,194.37,276.029
20.002,17.895,195.871,1.583
20.595,19.14,196.284,36.768
15.945,18.218,188.862,1855.012
19.438,25.142,193.357,255.979
21.3,28.742,195.102,543.993
21.9,29.99,194.835,372.502
20.848,23.598,189.032,285.674
19.738,16.977,189.682,32.084
22.483,22.637,193.701,348.106
24.207,26.078,196.071,115.348
25.272,27.943,196.46,440.724
12.873,12.102,191.219,83.51
15.38,17.182,193.621,387.205
17.21,20.782,194.339,40.254
17.655,17.253,189.35,35.219
15.797,9.152,191.278,168.216
18.16,13.997,194.117,161.253
19.303,16.4,195.32,333.935
19.697,17.258,195.659,22.167
20.292,18.47,195.935,51.34
5.912,7.077,192.115,663.036
7.145,9.547,193.389,1242.252
7.992,11.332,193.759,202.36
8.815,13.023,193.635,2388.897
9.457,14.305,193.301,77.684
11.005,17.285,192.788,30.967
12.925,20.995,191.015,34.502
11.487,13.82,190.347,178.934
9.897,6.32,192.536,306.041
10.672,7.867,193.14,501.698
11.688,18.59,190.73,13.511
14.305,23.868,194.243,3.574
15.625,26.415,196.291,577.224
16.69,28.495,197.618,591.244
17.407,29.96,196.932,265.503
17.928,30.955,195.952,69.267
17.585,26.02,191.82,437.496
16.773,20.082,192.659,36.058
6.985,4.608,191.936,444.577
8.413,7.513,192.025,603.329
10.418,11.567,191.735,644.2
13.692,18.053,188.758,10.118
12.29,10.82,187.075,267.834
9.98,1.828,192.036,334.095
10.765,3.387,191.903,302.328
10.985,3.843,191.927,301.196
11.188,4.295,191.927,284.572
11.402,4.737,191.935,325.414
7.64,5.872,191.674,236.733
9.922,10.515,192.752,248.13
11.412,13.552,192.173,391.078
13.543,17.657,189.995,5.511
12.567,11.21,187.599,189.893
10.767,3.315,191.98,141.431
11.842,5.56,192.014,231.859
12.057,6.002,192.056,256.518
12.28,6.44,192.104,209.122
12.5,6.89,192.152,263.891
8.397,7.487,191.393,6.007
10.68,12.13,193.052,113.699
12.822,16.368,192.678,117.352
15.135,20.892,190.311,10.059
14.042,14.37,187.956,256.873
12.165,6.278,191.912,2.316
12.93,7.837,192.217,255.46
13.38,8.717,192.198,336.333
13.605,9.152,192.264,273.031
13.84,9.577,192.356,241.511
13.683,18.04,189.031,102.854
18.66,27.94,194.723,359.167
20.322,31.218,194.691,79.644
18.59,23.415,188.466,95.456
17.99,17.947,190.214,22.287
20.405,22.935,193.494,99.961
21.722,25.427,195.12,241.698
22.565,26.89,195.431,192.366
22.773,27.363,195.406,243.07
7.67,5.91,191.653,426.413
9.16,8.977,191.847,195.849
13.58,17.803,188.511,91.053
12.822,11.9,187.607,223.397
10.31,2.453,192.068,341.944
10.767,3.337,192.002,363.87
10.987,3.793,192.003,354.647
11.19,4.245,192.004,341.947
11.405,4.688,192.007,237.308
12.758,25.14,188.687,5.411
16.008,31.605,193.535,298.649
16.875,33.322,194.93,492.564
17.49,34.595,195.332,187.292
18.118,35.793,195.382,129.833
18.54,36.56,195.382,25.611
18.72,36.945,195.365,30.63
19.095,37.828,195.425,62.129
19.51,38.733,195.126,57.205
16.562,28.4,189.692,101.123
4.77,0.435,192.239,321.221
5.878,2.663,191.602,769.825
6.877,4.67,190.877,303.259
8.363,7.688,190.036,172.802
10.637,7.735,188.801,464.653
7.79,-2.372,193.995,501.093
8.312,-1.237,193.626,617.982
8.537,-0.79,193.381,653.019
8.765,-0.358,193.146,622.956
6.113,3.1,192.32,409.25
7.318,5.545,192.181,91.152
9.142,9.247,191.296,501.478
11.742,9.957,188.829,445.656
8.785,-0.362,193.149,722.488
9.2,0.545,193.652,624.532
9.418,0.985,193.905,391.256
9.875,1.87,194.16,472.347
10.322,2.758,193.925,418.393
10.878,12.988,191.919,77.941
13.37,18.023,194.337,26.804
14.668,20.515,194.904,10.615
15.35,17.43,189.698,4.866
13.915,10.172,191.942,110.02
16.067,14.568,194.811,276.884
16.49,15.432,195.422,438.692
16.69,15.907,195.695,124.703
17.095,16.798,196.149,102.851
11.338,4.29,190.229,129.84
17.407,16.475,187.887,30.708
16.332,9.818,188.199,147.548
14.475,1.717,191.845,428.932
17.148,7.182,192.201,1656.244
19.66,12.028,190.267,111.205
19.227,6.482,190.074,247.9
17.387,-1.73,192.603,720.187
7.108,4.797,192.426,797.585
12.905,16.433,190.856,214.688
11.83,9.875,190.032,227.715
10.662,3.14,192.213,339.75
11.217,4.255,192.103,346.511
11.42,4.708,192.118,326.872
11.635,5.15,192.134,229.485
11.858,5.588,192.154,228.936
7.95,6.562,192.333,677.19
9.802,10.32,191.991,188.286
11.623,13.898,192.262,122.762
14.675,19.985,189.258,115.486
13.485,13.24,187.768,254.428
11.192,4.248,192.14,315.812
11.853,5.585,192.086,330.164
12.067,6.028,192.128,222.188
12.29,6.465,192.173,218.38
12.51,6.915,192.207,200.423
12.075,15.035,190.888,502.152
15.008,20.925,194.694,592.384
17.15,25.108,194.732,60.773
16.275,18.898,189.784,237.115
15.648,13.34,191.327,72.433
18.105,18.385,194.1,139.223
18.91,20.152,194.635,14.996
19.192,20.763,194.896,267.744
19.398,21.183,195.126,126.125
12.48,15.91,190.26,40.345
15.855,22.618,194.656,62.893
17.717,26.218,194.994,113.618
19.13,29.14,193.427,8.079
17.832,22.172,189.474,183.281
16.84,15.768,191.481,19.185
19.52,21.447,194.7,80.689
20.008,22.465,195.112,46.02
20.205,22.868,195.341,159.111
15.662,22.118,194.723,26.657
15.412,17.205,190.141,139.036
14.68,11.44,192.004,531.868
16.727,15.615,193.98,679.119
17.35,16.935,194.086,119.7
17.545,17.382,194.193,35.718
11.73,14.353,191.119,665.011
14.755,20.435,194.994,709.856
16.995,24.85,194.666,63.446
16.315,19.06,189.525,161.748
15.62,13.345,191.888,141.214
17.863,17.968,194.145,293.667
18.455,19.305,194.531,7.283
18.752,19.923,194.788,16.797
18.945,20.313,194.98,309.671
14.585,20.07,189.789,6.874
17.61,26.152,194.097,515.036
19.302,29.43,195.26,448.937
20.69,32.095,193.6,29.504
17.927,17.982,189.819,21.634
20.652,23.605,193.837,94.85
22.17,26.572,195.598,216.503
22.8,27.65,195.591,211.5
23.128,28.325,195.393,368.079
7.528,10.31,188.696,1020.15
5.325,1.54,192.287,351.798
6.207,3.315,191.828,2857.408
7.397,5.702,191.207,429.791
8.845,8.752,190.382,251.269
11.01,8.22,186.86,85.621
9.02,-0.353,190.136,156.954
14.637,11.045,186.412,103.407
8.077,11.422,188.57,631.669
7.602,6.14,191.429,515.28
9.162,9.407,190.542,282.295
11.38,8.867,187.271,83.371
9.707,0.945,190.158,149.679
15.175,12.152,186.481,52.893
16.19,18.582,188.881,588.547
15.695,13.342,192.405,7.233
17.84,17.725,194.025,106.098
18.142,18.368,194.35,12.632
18.438,19.023,194.584,7.148
18.627,19.445,194.788,6.74
7.485,1.5,192.312,564.893
8.25,3.06,191.721,388.73
9.115,4.77,191.225,425.399
10.648,7.978,190.357,217.23
12.055,5.815,189.593,339.15
10.995,-0.89,190.777,417.539
12.735,2.62,190.288,334.471
14.335,5.84,189.63,172.46
7.57,14.823,189.598,425.015
8.732,17.188,190.825,200.669
9.887,19.59,190.431,80.334
10.45,20.708,190.726,7.865
11.1,21.955,191.191,42.05
12.085,23.818,192.15,312.783
13.355,26.28,191.9,282.764
14.242,28.08,190.696,136.199
12.205,19.693,185.05,195.548
10.762,12.498,189.565,275.879
8.818,4.152,192.99,410.911
9.985,6.528,192.23,563.475
11.137,8.922,191.421,671.719
13.32,13.172,189.478,11.85
15.707,17.73,186.838,4.939
13.675,9.03,188.115,320.508
12.105,1.335,191.302,620.274
13.718,4.625,191.047,955.923
15.02,7.22,190.569,478.229
12.078,6.037,192.161,232.327
12.305,6.48,192.159,282.613
14.075,10.14,191.936,538.58
15.495,12.88,191.571,19.62
17.768,17.222,189.137,23.077
17.365,11.8,189.5,446.52
16.66,5.832,192.618,900.105
17.618,7.79,192.18,1300.48
20.38,13.53,188.647,94.392
2.882,5.438,193.249,885.141
3.208,6.108,193.631,680.131
3.435,6.558,193.903,483.741
3.898,7.442,194.16,498.583
4.35,8.328,193.93,343.582
4.565,8.78,193.71,632.047
4.768,9.227,193.497,625.184
4.963,9.662,193.301,620.905
5.485,10.732,193.053,523.001
6.112,11.988,192.689,862.484
12.788,16.68,190.746,87.194
14.127,19.497,190.425,4.075
14.992,21.1,191.519,151.966
16.762,24.385,191.5,340.119
18.188,27.1,189.572,40.576
15.49,17.16,183.782,179.172
14.56,10.755,189.151,68.888
17.708,17.04,190.305,35.223
19.15,20.05,190.506,215.405
20.252,22.39,190.23,343.846
4.407,8.562,192.217,577.262
5.305,10.34,193.25,558.2
5.862,11.455,193.906,461.315
6.065,11.902,194.184,229.979
6.472,12.793,194.605,169.871
6.892,13.662,194.611,520.105
7.105,14.06,194.583,446.469
7.305,14.492,194.455,577.517
7.65,15.15,194.099,873.721
8.418,16.648,193.558,270.906
12.333,24.395,197.084,10.482
12.648,25.008,197.716,336.066
12.858,25.45,198.185,1077.945
13.3,26.267,198.699,790.089
13.768,27.11,198.663,880.984
13.995,27.542,198.419,817.792
14.185,27.975,198.183,689.542
14.48,28.602,197.649,649.278
14.205,9.977,190.684,148.873
17.567,16.678,188.997,97.091
17.008,11.137,189.184,338.867
17.19,7.202,192.752,608.484
18.835,10.642,192.574,599.536
20.91,14.695,191.198,27.249
19.677,7.417,190.552,154.363
18.267,0.035,192.196,569.219
14.362,10.338,190.952,97.927
18.622,18.815,190.493,410.486
17.648,12.368,189.454,103.601
15.985,4.722,191.404,1045.331
18.137,9.117,193.275,242.08
19.305,11.523,193.857,668.779
23.41,19.483,191.215,29.891
22.678,13.398,191.001,582.48
20.9,5.248,193.495,781.979
5.33,1.56,192.195,499.392
10.545,7.52,189.177,758.486
8.008,-1.91,193.992,644.121
8.53,-0.775,193.882,543.5
8.755,-0.327,193.636,731.449
8.983,0.105,193.402,784.184
12.3,24.135,190.083,17.809
15.55,30.6,194.931,137.406
16.3,32.068,196.062,343.593
16.915,33.34,196.463,119.07
17.325,34.155,196.499,171.616
17.538,34.528,196.494,156.725
17.935,35.295,196.284,88.66
18.328,36.11,195.684,20.714
18.54,36.56,195.382,25.569
18.733,37.022,195.127,35.19
6.445,3.758,192.263,397.362
7.748,6.42,192.206,274.379
9.052,9.04,191.661,753.202
12.413,15.765,188.479,63.097
11.945,10.413,189.068,496.578
9.215,0.52,193.157,783.29
9.65,1.423,193.665,591.973
9.875,1.87,193.92,472.168
10.322,2.758,194.18,497.435
10.758,3.648,193.934,421.601
10.985,13.19,191.815,3.898
13.578,18.435,194.459,2.684
14.332,11.018,192.222,13.748
16.582,15.64,195.215,44.716
16.895,16.343,195.614,20.939
17.095,16.798,195.89,91.233
17.488,17.66,196.402,32.617
8.492,-1.488,190.215,121.476
11.542,4.7,188.997,259.454
14.36,5.812,187.712,470.222
11.737,-3.848,192.166,414.944
12.812,-1.603,191.707,2512.621
13.802,0.392,191.017,530.23
15.08,3.017,190.186,364.019
9.86,1.19,190.123,161.631
15.26,12.08,186.946,113.672
15.05,7.152,187.913,503.598
12.428,-2.508,192.162,560.52
15.457,3.655,191.16,740.789
17.705,8.14,189.926,266.534
18.328,4.635,189.171,689.742
4.36,-0.49,192.245,581.42
5.028,0.843,191.896,2727.188
6.24,3.308,191.015,412.871
7.398,5.722,190.281,193.649
10.545,11.972,187.14,70.383
10.638,7.735,188.801,601.574
7.79,-2.372,193.736,580.122
8.115,-1.705,193.373,797.171
8.67,-0.59,192.765,726.589
12.363,24.27,189.377,4.592
15.84,31.168,194.47,245.286
16.708,32.885,195.864,209.055
17.198,33.918,196.015,119.392
17.718,34.913,196.051,105.948
17.935,35.295,196.066,74.719
18.328,36.11,195.891,66.269
18.72,36.945,195.365,30.63
18.913,37.408,195.109,49.163
19.115,37.862,194.86,47.712
8.338,7.52,191.628,706.584
10.41,11.692,192.802,260.769
12.11,15.162,192.991,165.53
14.818,20.593,190.228,26.504
13.94,14.402,189.344,210.723
11.753,5.633,192.349,741.419
