A,B,M,N
1,71,51,25
2,3,4,5
2,3,5,6
2,3,6,7
2,3,7,8
2,3,8,9
2,3,9,10
2,3,10,11
2,3,11,12
2,3,12,13
2,3,13,14
13,14,15,16
13,14,16,17
13,14,17,18
13,14,18,19
13,14,19,20
13,14,20,21
13,14,21,22
13,14,22,23
13,14,23,24
13,14,24,25
13,14,12,11
13,14,11,10
13,14,10,9
13,14,9,8
13,14,8,7
13,14,7,6
13,14,6,5
13,14,5,4
13,14,4,3
13,14,3,2
2,4,6,8
2,4,8,10
2,4,10,12
2,4,12,14
2,4,14,16
2,4,16,18
2,4,18,20
2,4,20,22
2,4,22,24
2,4,24,26
24,26,28,30
24,26,30,32
24,26,32,34
24,26,34,36
24,26,36,38
24,26,38,40
24,26,40,42
24,26,42,44
24,26,44,46
24,26,46,48
24,26,22,20
24,26,20,18
24,26,18,16
24,26,16,14
24,26,14,12
24,26,12,10
24,26,10,8
24,26,8,6
24,26,6,4
24,26,4,2
2,5,3,4
2,5,4,8
2,5,8,11
2,5,11,14
2,5,14,17
2,5,17,20
2,5,20,23
2,5,23,26
2,5,26,29
2,5,29,32
29,32,30,31
29,32,31,35
29,32,35,38
29,32,38,41
29,32,41,44
29,32,44,47
29,32,47,50
29,32,50,53
29,32,53,56
29,32,56,59
29,32,31,30
29,32,30,26
29,32,26,23
29,32,23,20
29,32,20,17
29,32,17,14
29,32,14,11
29,32,11,8
29,32,8,5
29,32,5,2
2,6,3,5
2,6,5,10
2,6,10,14
2,6,14,18
2,6,18,22
2,6,22,26
2,6,26,30
2,6,30,34
2,6,34,38
2,6,38,42
38,42,41,39
38,42,39,34
38,42,34,30
38,42,30,26
38,42,26,22
38,42,22,18
38,42,18,14
38,42,14,10
38,42,10,6
38,42,6,2
2,7,3,6
2,7,6,12
2,7,12,17
2,7,17,22
2,7,22,27
2,7,27,32
2,7,32,37
2,7,37,42
2,7,42,47
2,7,47,52
47,52,51,48
47,52,48,42
47,52,42,37
47,52,37,32
47,52,32,27
47,52,27,22
47,52,22,17
47,52,17,12
47,52,12,7
47,52,7,2
2,8,3,7
2,8,7,14
2,8,14,20
2,8,20,26
2,8,26,32
2,8,32,38
